Rank,Name,Points
878,marshal55s,"14,613"
879,Shikari31,"14,611"
880,Ram33,"14,580"
881,The_Cake,"14,574"
882,tstadheim08,"14,568"
883,chad23322,"14,524"
884,Brass23,"14,523"
885,gridironguru99,"14,515"
886,Cjf99b,"14,508"
887,flight63,"14,498"
888,rsrunningrebels,"14,496"
889,atstclair,"14,485"
890,dave3318,"14,481"
891,tmurderer420,"14,461"
892,Privy,"14,458"
893,ISeeBlue,"14,444"
894,DraftTycoon,"14,442"
895,Capper21,"14,441"
896,Hkhotsskhotb,"14,434"
897,Shawners,"14,430"
898,Oakwalds3,"14,423"
899,ydomes,"14,419"
900,Gathman78,"14,389"
901,happy8ss,"14,383"
902,Colinmace,"14,382"
903,charliebowties,"14,372"
904,Tuttlebag,"14,366"
905,Batavia514,"14,349"
906,AGoodDay,"14,348"
907,grandpabuzz,"14,335"
908,kevin8053,"14,318"
909,mxphigam,"14,311"
910,Nahunta,"14,298"
911,muddogs10,"14,272"
912,cpeeler21,"14,242"
913,mrfreeze555,"14,193"
914,bipolrbear,"14,180"
915,mcgruffthecrimedog,"14,166"
916,JacobJurado,"14,165"
917,lamp3122,"14,155"
918,littlebrows,"14,152"
919,AJM3,"14,138"
920,budaman3915,"14,129"
921,jtortorelli,"14,127"
922,orangecrush303,"14,122"
923,bigpoppadb8,"14,112"
924,lanceshull,"14,109"
925,DHEADT,"14,109"
926,clutchpfc,"14,078"
927,Sblum2711,"14,065"
928,jeff1137,"14,061"
929,PenskeFile,"14,056"
930,Pander85,"14,046"
931,Pockethercules4life,"14,029"
932,joseamota8,"14,021"
933,mfriendl,"14,008"
934,BayouBengals,"14,004"
935,alwayzbusted,"14,000"
936,cmacbb07,"13,995"
937,wcollier214,"13,991"
938,buoya20,"13,986"
939,SWIFTYWON,"13,985"
940,scottygto,"13,965"
941,zstratt,"13,962"
942,Itsabucslife1,"13,962"
943,boondock,"13,960"
944,herberh2,"13,945"
945,MAS47,"13,940"
946,willisla,"13,913"
947,Williamv410,"13,907"
948,Scottpaul11,"13,907"
949,oldowl,"13,901"
950,nolesman,"13,874"
